d;h;l;c;o;v
2004-07-01;703,94;697,73;697,97;701,67;238312159
2004-07-02;698,63;693,08;695,82;696,31;203843109
2004-07-05;697,32;691,12;693,08;695,96;77593012
2004-07-06;692,12;685,06;685,4;692,12;152585788
2004-07-07;688,38;682,32;684,29;685,66;128188630
2004-07-08;686,24;681,38;685,3;684,22;159689776
2004-07-09;684,01;676,42;679,5;684,01;177147018
2004-07-12;681,0;665,86;669,0;678,83;179421007
2004-07-13;680,05;668,16;676,03;670,21;220236022
2004-07-14;681,91;670,61;680,47;674,25;218509169
2004-07-15;682,39;667,11;669,12;674,25;572002218
2004-07-16;674,59;666,81;673,44;669,63;268555662
2004-07-19;675,22;666,05;666,28;671,78;228047600
2004-07-20;670,79;661,93;668,7;666,54;259885526
2004-07-21;694,52;681,82;683,09;681,82;583825704
2004-07-22;677,82;668,2;668,23;677,39;291891305
2004-07-23;674,41;668,17;668,45;671,07;183337084
2004-07-26;671,52;661,7;661,76;668,01;188074172
2004-07-27;671,95;664,46;671,95;664,49;215267406
2004-07-28;681,38;672,89;674,36;676,73;258945992
2004-07-29;684,16;677,09;680,14;677,09;184845367
2004-07-30;686,26;677,38;683,3;680,1;146147798
2004-08-02;681,28;675,85;678,8;680,35;104517184
2004-08-03;681,83;677,35;679,19;680,52;107120931
2004-08-04;677,17;671,16;674,23;676,09;139889516
2004-08-05;682,26;677,11;679,04;677,12;137130548
2004-08-06;675,21;660,82;663,15;674,45;277906184
2004-08-09;663,5;653,49;656,91;663,5;184425153
2004-08-10;667,13;656,83;664,67;658,1;195604998
2004-08-11;662,5;649,32;653,37;662,5;351385738
2004-08-12;658,22;644,98;650,7;654,85;401432402
2004-08-13;654,43;646,61;649,36;649,22;328845876
2004-08-16;656,55;644,04;656,02;646,49;220930487
2004-08-17;662,04;655,65;658,63;656,26;268830063
2004-08-18;666,0;655,92;665,41;659,67;278950199
2004-08-19;670,7;664,08;666,56;669,13;258426336
2004-08-20;665,79;659,98;664,52;664,83;153218516
2004-08-23;679,23;667,6;679,23;667,6;297487677
2004-08-24;683,77;676,31;676,86;678,96;260404954
